Date,Parcours,Palier,Séance,Objectif,Rituel,Vocabulaire,Lecture,Écriture,Pratique autonome,Jeu,Notes
2025-10-04,Parcours 1,3,1,"Amener les élèves à reconnaître et utiliser le vocabulaire courant en français, en lisant et écrivant des mots simples tels que sel, chef, vert, carotte, pomme, persil, marmite, verser.","Les élèves commencent par une dictée flash de mots simples, suivie d'une correction collective sur ardoise.","Les élèves découvrent et répètent les mots : sel, chef, vert, carotte, pomme, persil, marmite, verser.","Les élèves lisent des syllabes et des mots simples en utilisant les sons des lettres, en se concentrant sur la prononciation correcte.","Les élèves écrivent les mots dictés sur leurs ardoises, puis corrigent ensemble.","Les élèves réalisent les activités du livret p.20, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des syllabes, où ils lisent et présentent des lettres et syllabes à leurs camarades.",Vérifier la compréhension des élèves tout au long de la séance et ajuster les activités si nécessaire.
2025-10-04,Parcours 1,3,2,"Amener les élèves à lire et écrire des mots avancés avec les syllabes br, dr, pr, cr, et à utiliser le vocabulaire des légumes et des actions.","Les élèves réalisent une dictée flash de mots simples tels que 'sel' et 'carotte', puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots de vocabulaire : légumes, sucre, prune, fromage, brocoli, découper, préparer.","Les élèves lisent des syllabes et des mots avancés, en se concentrant sur les sons br, dr, pr, cr, et des phrases simples.","Les élèves écrivent sur ardoise et dans leur cahier les mots et phrases étudiés, après démonstration au tableau.","Les élèves complètent les activités du livret p.21, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent à un jeu du panier où ils piochent des syllabes et mots, les lisent à voix haute et les présentent à la classe.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des syllabes avancées."
2025-10-04,Parcours 1,3,3,"Amener les élèves à lire, écrire et utiliser des syllabes et mots avancés avec pl, gl, fl à travers du vocabulaire courant.",Les élèves réalisent une dictée flash de mots avancés et corrigent collectivement sur ardoise.,"Les élèves découvrent et répètent les mots de vocabulaire : placard, glace, flan, éplucher, froid, fruits, casserole, réfrigérateur.","Les élèves lisent les syllabes et mots avancés (placard, glace, flan) en se concentrant sur le son des lettres.","Les élèves écrivent sur ardoise et dans leur cahier les mots et phrases étudiés, après démonstration au tableau.","Les élèves complètent les activités du livret p.22, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier : ils piochent des cartes de syllabes/mots, lisent et font répéter à la classe.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des syllabes."
2025-10-04,Parcours 1,3,4,"Amener les élèves à rebrasser le vocabulaire et la lecture, en s'assurant qu'au moins 80% d'entre eux participent activement.",Les élèves répètent ensemble les mots du vocabulaire et passent au tableau pour les nommer.,"Les élèves découvrent et nomment les mots illustrés sur les diapositives, en s'assurant que chacun participe au moins une fois.","Les élèves lisent à voix haute les mots avancés et les mots outils, en veillant à la participation active de tous.","Les élèves réalisent une dictée de mots sur ardoise, renforçant ainsi leurs compétences en orthographe et en compréhension.","Les élèves travaillent en binômes sur les activités du livret, lisent à voix basse et échangent les rôles pour favoriser l'interaction.","Les élèves participent à des activités ludiques pour renforcer leur vocabulaire et leur compréhension, comme le passage au tableau pour lire des phrases.",Veiller à maintenir un rythme soutenu et à donner un feedback systématique pour encourager la participation.
2025-10-04,Parcours 1,4,1,"Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes au, eau, oi, ui.","Les élèves réalisent une dictée flash de mots simples : du fromage, des légumes, la marmite, et corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : drapeau, saucisse, trois, jaune, puits, chauffeur, boire, voiture.","Les élèves lisent les graphèmes complexes au, eau, oi, ui, ainsi que des phrases contenant ces graphèmes.","Les élèves écrivent sur ardoise les mots dictés et les phrases étudiées, avec correction par l'enseignant(e).","Les élèves complètent les activités du livret p.26, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.",Vérifier la compréhension des élèves tout au long de la séance.
2025-10-04,Parcours 1,4,2,"Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes eu, ieu, ph, gn.","Les élèves réalisent une dictée flash des mots : drapeau, voiture, boire, et corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : facteur, vieux, agneau, coiffeur, pharmacie, signal, nageur.","Les élèves lisent les graphèmes complexes eu, ieu, ph, gn et des mots associés : facteur, vieux, pharmacie, agneau.",Les élèves écrivent sur ardoise les mots dictés et les corrigent après chaque écriture.,"Les élèves complètent les activités du livret p.27, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.",Vérifier la compréhension des graphèmes complexes et encourager la participation active.
2025-10-04,Parcours 1,4,3,"Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes é, ié, ez, er, et, ier.","Les élèves réalisent une dictée flash de mots : un agneau, la pharmacie, le coiffeur, et corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : piéton, poulet, boucher, fermier, sifflet, cabinet, policier, pommier.","Les élèves lisent des mots contenant les graphèmes complexes : étage, boucher, policier, fermez, carnet, étudié, acheter, fermier.","Les élèves écrivent sur ardoise les mots dictés : l'école, le poulet, le boucher, le fermier, et corrigent ensemble.",Les élèves lisent à voix basse en binômes les activités du livret p.28 et échangent les rôles.,"Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.",Vérifier la compréhension des élèves tout au long de la séance.
2025-10-04,Parcours 1,4,4,"Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes : è, ê, ai, ei, ette, esse.","Les élèves réalisent une dictée flash de mots : un poulet, un boucher, un fermier, et corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : étagère, fenêtre, vétérinaire, seize, fourchette, infirmière, peigne, baguette.","Les élèves lisent des mots contenant les graphèmes complexes et des phrases simples, en se relayant au tableau.","Les élèves écrivent sur ardoise les mots dictés et corrigent en groupe, en fournissant des retours positifs.",Les élèves effectuent des activités de lecture à voix basse en binômes et complètent des exercices écrits dans leur livret.,"Les élèves participent au jeu du panier des mots, où ils piochent des cartes et lisent les mots à la classe.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées lors de la lecture des graphèmes complexes."
2025-10-04,Parcours 1,4,5,"Amener les élèves à revoir et maîtriser le vocabulaire et la lecture des mots simples, ainsi qu'à préparer le test de suivi.","Les élèves réalisent une dictée de mots à partir d'images, puis corrigent collectivement sur ardoise.","Les élèves revoient les mots de vocabulaire : drapeau, poulet, baguette, boucher, seize, boire, agneau, facteur.","Les élèves lisent les mots présentés sur les diapositives, en se concentrant sur la prononciation correcte et la compréhension.","Les élèves écrivent les mots dictés sur leurs ardoises, puis corrigent les erreurs en groupe.","Les élèves travaillent sur les activités de la page 30 en binômes, lisent à voix basse et échangent les rôles.",Les élèves participent à un jeu de rebrassage où ils doivent dire les mots correspondant aux images présentées.,"Les élèves ont montré des progrès, mais quelques difficultés persistent dans l'écriture correcte des mots."
2025-10-04,Parcours 1,4,6,"Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes on, om, ion.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : montagne, tomber, avion, pigeon, pompier, camion, citron, mouton.","Les élèves lisent des mots contenant les graphèmes on, om, ion, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent les activités du livret p.31, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.","Les élèves ont bien participé, mais quelques difficultés ont été notées avec les graphèmes complexes."
2025-10-04,Parcours 1,4,7,"Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes an, en, am, em, ian.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : chanteur, ambulance, boulanger, trembler, dentiste, viande, manger, musicien.",Les élèves lisent des mots contenant les graphèmes complexes et des phrases simples en groupe.,Les élèves écrivent sur ardoise les mots dictés et les phrases après démonstration.,"Les élèves réalisent les activités du livret p.32, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots, lisent les mots piochés et répètent en écho.",Vérifier la compréhension des élèves tout au long de la séance.
2025-10-04,Parcours 1,4,8,"Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes in, im, ain, ein.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : cinq, grimper, main, peintre, magicien, mécanicien, médecin, lapin.","Les élèves lisent des mots contenant les graphèmes in, im, ain, ein, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent des activités du livret p.33, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.","Les élèves ont bien participé, mais quelques difficultés ont été observées avec certains graphèmes."
2025-10-04,Parcours 1,4,9,"Amener les élèves à comprendre et utiliser les graphèmes complexes : ill, ail, eil, euil, ouil à travers des mots courants.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent des activités dans leur livret, lisent à voix basse en binômes et échangent les rôles.",Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.,"Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la reconnaissance des graphèmes."
"2025-10-06","Parcours 1","4","10","Amener les élèves à rebrasser et valider leurs acquis du palier 4 à travers des activités de lecture et de vocabulaire.","Les élèves réalisent une dictée flash de mots avec des graphèmes complexes et corrigent collectivement sur ardoise.","Les élèves observent des images et écrivent les mots correspondants : lion, famille, fenêtre, étagère.","Les élèves passent au tableau pour lire les mots présentés sur les diapositives, chacun participant au moins une fois.","Les élèves écrivent les mots observés sur leurs ardoises et corrigent en groupe.","Les élèves travaillent sur les activités de révision en binômes ou individuellement, en utilisant les livrets de français.","Les élèves participent à un jeu de rebrassage où ils doivent nommer les mots des images présentées.","Vérifier la compréhension des consignes et encourager la participation active de tous les élèves."
"2025-10-10","Parcours 1","2","1","Amener les élèves à lire et écrire des syllabes et mots simples avec les lettres p, q, qu, t, k, x.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : quatre, taxi, poule, karaté, tapis.","Les élèves lisent des syllabes et mots simples contenant les lettres qu, x, p, k.","Les élèves écrivent sur ardoise les mots et syllabes étudiés après démonstration au tableau.","Les élèves complètent les activités du livret et échangent les rôles en binômes.","Les élèves participent à un jeu de lecture au tableau, où ils doivent lire des mots ou syllabes.","Vérifier la compréhension des élèves tout au long de la séance."
"2025-10-10","Parcours 1","2","1","Amener les élèves à lire et écrire des syllabes et mots simples avec les lettres p, q, qu, t, k, x.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : quatre, taxi, poule, karaté, tapis.","Les élèves lisent des syllabes et mots simples contenant les lettres qu, x, p, k.","Les élèves écrivent sur ardoise les mots et syllabes étudiés après démonstration au tableau.","Les élèves complètent les activités du livret p.21 et échangent les rôles en binômes.","Les élèves participent à un jeu de lecture où ils doivent lire des mots et syllabes au tableau.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des syllabes."
"2025-10-10","Parcours 1","3","1","Amener les élèves à reconnaître et utiliser le vocabulaire courant à travers des mots simples tels que sel, chef, vert, carotte, pomme, persil, marmite et verser.","Les élèves commencent par une dictée flash de mots simples, suivie d'une correction collective sur ardoise.","Les élèves découvrent et répètent les mots de vocabulaire : sel, chef, vert, carotte, pomme, persil, marmite, verser.","Les élèves lisent des syllabes et des mots simples en utilisant les sons des lettres, en se concentrant sur la prononciation correcte.","Les élèves écrivent sur ardoise les mots dictés et corrigent ensemble après chaque écriture.","Les élèves réalisent les activités des pages 20 et 21, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des syllabes, où ils lisent et présentent des lettres et syllabes à leurs camarades.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la prononciation des syllabes."
"2025-10-10","Parcours 1","3","1","Amener les élèves à reconnaître et utiliser le vocabulaire courant : sel, chef, vert, carotte, pomme, persil, marmite, verser.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : sel, chef, vert, carotte, pomme, persil, marmite, verser.","Les élèves lisent des syllabes et des mots simples en CVC et double C, tels que sel, chef, vert, carotte, pomme.","Les élèves écrivent sur ardoise les mots dictés et corrigent ensemble.","Les élèves complètent les activités du livret p.20, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des syllabes, lisent les lettres et syllabes tirées et les présentent à la classe.","Vérifier la compréhension des consignes et encourager la participation active."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent des activités dans leur livret, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes complexes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés et les corrigent ensemble.","Les élèves réalisent des activités de lecture à voix basse en binômes et recopient les mots étudiés.","Les élèves participent au jeu du panier, où ils lisent des mots avec les graphèmes complexes et les répètent.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent des activités dans leur livret, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des graphèmes, où ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes complexes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration au tableau.","Les élèves réalisent les activités du livret p.34, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots étudiés après une démonstration au tableau.","Les élèves complètent les activités du livret p.34, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes complexes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent les activités du livret p.34, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont bien participé, mais quelques difficultés ont été observées avec certains graphèmes."
"2025-10-11","Parcours 1","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés après une démonstration au tableau.","Les élèves réalisent des activités de lecture à voix basse en binômes et recopient les mots étudiés.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la reconnaissance des graphèmes."
