Date,Palier1,Séance1,Objectif1,Rituel1,Vocabulaire1,Lecture1,Écriture1,Pratique autonome1,Jeu1,Notes1,Palier2,Séance2,Objectif2,Rituel2,Vocabulaire2,Lecture2,Écriture2,Pratique autonome2,Jeu2,Notes2
"2025-10-08","4","8","Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes in, im, ain, ein.","Les élèves commencent par une dictée flash de mots simples, puis corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : cinq, grimper, main, peintre, magicien, mécanicien, médecin, lapin.","Les élèves lisent des mots contenant les graphèmes in, im, ain, ein, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration au tableau.","Les élèves réalisent les activités du livret p.33, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes.","4","9","Amener les élèves à comprendre et utiliser les graphèmes complexes ill, ail, eil, euil, ouil à travers des mots et phrases simples.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés et les corrigent ensemble.","Les élèves réalisent des activités de lecture et d'écriture en binômes, échangent les rôles et corrigent leurs erreurs.","Les élèves participent au jeu du panier, lisent des mots avec les graphèmes complexes et les répètent.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes."
"2025-10-08","4","8","Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes in, im, ain, ein.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : cinq, grimper, main, peintre, magicien, mécanicien, médecin, lapin.","Les élèves lisent des mots contenant les graphèmes in, im, ain, ein, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés après une démonstration au tableau.","Les élèves complètent les activités du livret p.33, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.","Les élèves ont bien participé, mais quelques difficultés ont été notées dans la lecture des graphèmes complexes.","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent les activités du livret, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier, où ils piochent des cartes et lisent les mots à haute voix.","Observation de la participation active des élèves, quelques difficultés sur les graphèmes complexes."
"2025-10-08","4","8","Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes in, im, ain, ein.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : cinq, grimper, main, peintre, magicien, mécanicien, médecin, lapin.","Les élèves lisent des mots contenant les graphèmes in, im, ain, ein, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent les activités du livret p.33, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.","Les élèves ont bien participé, mais quelques difficultés ont été notées dans la lecture des graphèmes complexes.","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots étudiés après une démonstration collective.","Les élèves réalisent des activités de lecture à voix basse en binômes et recopient les mots du vocabulaire.","Les élèves participent au jeu du panier, où ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la reconnaissance des graphèmes."
"2025-10-08","4","8","Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes in, im, ain, ein.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : cinq, grimper, main, peintre, magicien, mécanicien, médecin, lapin.","Les élèves lisent des mots contenant les graphèmes in, im, ain, ein, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent les activités du livret p.33, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes.","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration au tableau.","Les élèves réalisent des activités de lecture à voix basse en binômes et recopient les mots étudiés.","Les élèves participent au jeu du panier, où ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la reconnaissance des graphèmes."
"2025-10-08","4","8","Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes in, im, ain, ein.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : cinq, grimper, main, peintre, magicien, mécanicien, médecin, lapin.","Les élèves lisent des mots contenant les graphèmes complexes in, im, ain, ein, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves complètent les activités du livret p.33, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes.","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots étudiés après une démonstration au tableau.","Les élèves réalisent des activités dans leur livret, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes complexes."
"2025-10-08","4","8","Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes in, im, ain, ein.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : cinq, grimper, main, peintre, magicien, mécanicien, médecin, lapin.","Les élèves lisent des mots contenant les graphèmes complexes in, im, ain, ein, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent des activités du livret p.33, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent le mot et la classe répète en écho.","Les élèves ont bien participé, mais quelques difficultés ont été observées avec certains graphèmes.","4","9","Amener les élèves à comprendre et utiliser les graphèmes complexes : ill, ail, eil, euil, ouil à travers des mots et phrases simples.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés et les corrigent ensemble.","Les élèves réalisent des activités de lecture à voix basse en binômes et recopient les mots étudiés.","Les élèves participent au jeu du panier des graphèmes, où ils lisent des mots et les répètent à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la reconnaissance des graphèmes."
"2025-10-08","4","8","Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes in, im, ain, ein.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : cinq, grimper, main, peintre, magicien, mécanicien, médecin, lapin.","Les élèves lisent des mots contenant les graphèmes in, im, ain, ein, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés après une démonstration au tableau.","Les élèves réalisent les activités du livret p.33, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent des cartes et lisent les mots à la classe.","Les élèves ont bien réagi aux activités, mais quelques difficultés ont été notées lors de la lecture des graphèmes.","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration au tableau.","Les élèves réalisent des activités de lecture à voix basse en binômes et recopient les mots étudiés.","Les élèves participent au jeu du panier des graphèmes : ils piochent des cartes et lisent les mots à haute voix.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des graphèmes complexes."
"2025-10-08","4","8","Amener les élèves à lire, écrire et utiliser des mots avec les graphèmes complexes in, im, ain, ein.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : cinq, grimper, main, peintre, magicien, mécanicien, médecin, lapin.","Les élèves lisent des mots contenant les graphèmes in, im, ain, ein, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent les activités du livret p.33, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent au jeu du panier des mots : ils piochent une carte, lisent et la classe répète en écho.","Les élèves ont bien participé, mais quelques difficultés ont été observées avec les graphèmes complexes.","4","9","Amener les élèves à lire, écrire et utiliser des mots contenant les graphèmes complexes : ill, ail, eil, euil, ouil.","Les élèves commencent par une dictée flash de mots simples, puis corrigent ensemble sur ardoise.","Les élèves découvrent et répètent les mots : famille, portail, réveil, fauteuil, fenouil, tailleur, abeille, feuille.","Les élèves lisent des syllabes et des mots contenant les graphèmes complexes, puis des phrases simples.","Les élèves écrivent sur ardoise les mots dictés, après une démonstration collective.","Les élèves réalisent des activités de lecture à voix basse en binômes et recopient les mots étudiés.","Les élèves participent au jeu du panier, où ils lisent des mots avec les graphèmes complexes et les répètent.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la reconnaissance des graphèmes."
"2025-10-08","2","1","Amener les élèves à lire et écrire des syllabes et mots simples avec les lettres p, q, k, x à travers du vocabulaire courant.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : quatre, taxi, poule, karaté, tapis.","Les élèves lisent des syllabes et mots simples contenant les lettres p, q, k, x.","Les élèves écrivent sur ardoise et dans leur cahier les syllabes et mots étudiés après démonstration au tableau.","Les élèves complètent les activités du livret p.21, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent à un jeu de lecture où ils passent au tableau pour lire des mots et syllabes.","Vérifier la compréhension des élèves tout au long de la séance.","3","","Amener les élèves à passer le test de validation du palier 3 en lisant et écrivant des mots simples.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves nomment les mots du vocabulaire à partir des images présentées sur les diapositives.","Les élèves lisent des mots simples au tableau, en participant chacun à tour de rôle.","Les élèves écrivent les mots dictés sur leurs ardoises et corrigent ensemble.","Les élèves travaillent en binômes sur les activités de révision dans leur livret, tout en lisant à voix basse.","Les élèves participent à un jeu de rebrassage où ils nomment les images et les mots associés.","Vérifier la compréhension des consignes et assurer la participation de tous les élèves."
"2025-10-08","2","1","Amener les élèves à lire et écrire des syllabes et mots simples avec les lettres p, q, k, x à travers du vocabulaire courant.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : quatre, taxi, poule, karaté, tapis.","Les élèves lisent des syllabes et mots simples contenant les lettres p, q, k, x.","Les élèves écrivent sur ardoise et dans leur cahier les syllabes et mots étudiés après démonstration au tableau.","Les élèves complètent les activités du livret p.21, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent à un jeu de lecture où ils passent au tableau pour lire des mots et syllabes.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des syllabes.","3","","Amener les élèves à passer le test de validation du palier 3 en lisant et écrivant des mots simples.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves nomment les mots du vocabulaire à partir des images présentées sur les diapositives.","Les élèves lisent des mots simples au tableau, en participant chacun à tour de rôle.","Les élèves écrivent les mots dictés sur leurs ardoises et corrigent ensemble.","Les élèves travaillent en binômes sur les activités de révision dans leur livret, tout en échangeant les rôles.","Les élèves participent à un jeu de rebrassage en nommant les images et en lisant les mots au tableau.","Vérifier la compréhension des élèves tout au long de la séance."
"2025-10-08","2","1","Amener les élèves à lire et écrire des syllabes et mots simples avec les lettres p, q, k, x à travers du vocabulaire courant.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves découvrent et répètent les mots : quatre, taxi, poule, karaté, tapis.","Les élèves lisent des syllabes et mots simples avec les lettres p, q, k, x.","Les élèves écrivent sur ardoise et dans leur cahier les syllabes et mots étudiés après démonstration au tableau.","Les élèves complètent les activités du livret p.21, lisent à voix basse en binômes et échangent les rôles.","Les élèves participent à un jeu de lecture où ils doivent lire des mots ou syllabes au tableau.","Les élèves ont montré un bon engagement, mais quelques difficultés ont été notées dans la lecture des syllabes.","3","","Amener les élèves à passer le test de validation du palier 3 en lisant et écrivant des mots simples.","Les élèves réalisent une dictée flash de mots simples et corrigent collectivement sur ardoise.","Les élèves nomment les mots du vocabulaire à partir des images présentées sur les diapositives.","Les élèves lisent des mots simples à voix haute, un par un, en participant activement.","Les élèves écrivent les mots dictés sur leurs ardoises et corrigent ensemble.","Les élèves travaillent en binômes sur les activités de révision dans leur livret, tout en échangeant les rôles.","Les élèves participent à un jeu de rebrassage où ils nomment les images et lisent les mots à tour de rôle.","Vérifier la compréhension des consignes et encourager la participation de tous les élèves."
